DATE (MM/DD),MST,Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Total Cloud Cover [%],Peak Wind Speed @ 6ft [m/s],Precipitation (Accumulated) [mm],Moisture,Albedo (CMP11)
14-05,05:50,110.866,101.83,74.26229,10.65,9.211,8.131,83.0,0.0,0.0,0.0,0.2432
14-05,06:00,123.784,2.35905,75.75815,10.88,9.419,8.339,100.0,0.95,0.0,0.0,0.2181
14-05,06:10,130.549,1.3996,77.24857,11.1,9.602,8.502,97.0,0.95,0.0,0.0,0.2023
14-05,06:20,88.1344,0.197824,78.73662,11.22,9.649,8.549,97.0,1.2,0.0,0.0,0.2052
14-05,06:30,182.076,4.32246,80.22548,11.05,9.553,8.453,90.0,0.95,0.0,0.0,0.1975
14-05,06:40,293.885,241.565,81.71848,11.61,9.801,8.501,79.0,0.0,0.0,0.0,0.2454
14-05,06:50,420.35,524.691,83.21913,12.0,10.06,8.68,80.0,0.0,0.0,0.0,0.2304
14-05,07:00,401.835,560.168,84.73116,12.4,10.099,8.499,67.0,0.7,0.0,0.0,0.2302
14-05,07:10,434.054,452.424,86.25853,13.37,10.514,8.514,60.0,1.45,0.0,0.0,0.2376
14-05,07:20,373.323,202.586,87.8055,13.76,10.646,8.546,70.0,1.7,0.0,0.0,0.2186
14-05,07:30,580.978,517.883,89.37671,14.62,10.725,8.125,77.0,0.0,0.0,0.0,0.1926
14-05,07:40,526.447,466.151,90.97716,14.13,10.908,8.708,71.0,1.95,0.0,0.0,0.2178
14-05,07:50,329.311,127.997,92.61237,13.98,10.705,8.505,76.0,2.95,0.0,0.0,0.1898
14-05,08:00,252.728,123.512,94.2884,13.34,10.478,8.578,46.0,2.2,0.0,0.0,0.2156
14-05,08:10,421.531,227.781,96.01198,13.52,10.704,8.804,55.0,1.45,0.0,0.0,0.2221
14-05,08:20,190.428,9.54501,97.7906,14.06,10.649,8.269,53.0,0.45,0.0,0.0,0.2005
14-05,08:30,756.138,836.678,99.63264,15.31,11.407,8.807,55.0,3.95,0.0,0.0,0.2018
14-05,08:40,770.457,871.751,101.54755,16.53,10.724,6.624,50.0,2.45,0.0,0.0,0.199
14-05,08:50,595.08,393.576,103.54598,16.66,10.3,5.5,56.0,2.7,0.0,0.0,0.193
14-05,09:00,454.05,102.354,105.63998,16.59,10.298,5.598,73.0,3.95,0.0,0.0,0.1902
14-05,09:10,289.972,1.32542,107.84324,15.73,9.94,5.54,95.0,2.95,0.0,0.0,0.1883
14-05,09:20,286.8,1.26607,110.17133,15.64,9.508,4.708,94.0,3.45,0.0,0.0,0.1878
14-05,09:30,203.563,2.56183,112.64193,15.67,9.34,4.24,96.0,1.7,0.0,0.0,0.1897
14-05,09:40,201.809,0.380814,115.27508,15.33,9.103,4.003,96.0,1.45,0.0,1.0,0.1888
14-05,09:50,248.726,0.72206,118.09342,15.63,9.898,5.518,92.0,5.2,0.0,0.0,0.1925
14-05,10:00,177.998,1.41939,121.12227,15.66,9.958,5.658,88.0,1.7,0.0,0.55,0.1926
14-05,10:10,181.576,-0.034619,124.38965,15.24,10.259,6.659,80.0,2.95,0.0,1.0,0.1884
14-05,10:20,218.619,-2.66074,127.92588,15.14,10.29,6.79,60.0,2.7,0.0,1.0,0.1832
14-05,10:30,1023.43,716.098,131.7628,16.39,11.387,7.987,28.0,3.45,0.0,1.0,0.1716
14-05,10:40,953.155,618.073,135.93213,17.93,11.581,7.191,43.0,2.45,0.0,1.0,0.1738
14-05,10:50,1064.22,735.007,140.46293,18.18,11.072,5.972,62.0,3.95,0.0,0.0,0.1761
14-05,11:00,567.111,81.365,145.37764,18.62,10.748,4.768,83.0,3.45,0.0,0.0,0.1828
14-05,11:10,390.863,3.79331,150.68677,17.83,10.503,4.923,94.0,3.2,0.0,0.0,0.1871
14-05,11:20,352.517,3.59053,156.38248,18.03,10.434,4.634,95.0,3.45,0.0,0.0,0.1936
14-05,11:30,681.519,212.137,162.43227,19.14,10.928,4.738,88.0,3.2,0.0,0.0,0.1858
14-05,11:40,1068.22,848.096,168.77456,19.75,11.091,4.591,60.0,5.45,0.0,0.0,0.1741
14-05,11:50,1077.3,891.687,175.31874,20.39,11.809,5.709,66.0,3.7,0.0,0.0,0.1727
14-05,12:00,1136.63,870.033,181.95128,19.45,10.63,3.73,75.0,3.2,0.0,0.0,0.1706
14-05,12:10,989.063,656.723,188.54792,20.55,11.036,3.736,60.0,2.7,0.0,0.0,0.1722
14-05,12:20,1110.88,898.889,194.98881,20.68,11.489,4.789,50.0,5.2,0.0,0.0,0.1709
14-05,12:30,1121.57,885.955,201.17246,21.06,11.5,4.4,50.0,4.45,0.0,0.0,0.1732
14-05,12:40,1096.94,693.579,207.02458,21.3,11.451,4.051,80.0,3.7,0.0,0.0,0.1734
14-05,12:50,469.455,19.9803,212.50066,19.9,10.731,3.631,91.0,4.2,0.0,0.0,0.1767
14-05,13:00,290.279,1.71119,217.58306,19.37,10.863,4.373,91.0,4.45,0.0,0.0,0.1851
14-05,13:10,288.701,1.93868,222.27531,19.1,10.753,4.453,90.0,5.45,0.0,0.0,0.184
14-05,13:20,659.301,236.514,226.59549,18.6,11.564,6.664,85.0,4.45,0.0,0.9,0.1879
14-05,13:30,1159.88,819.54,230.5704,19.48,11.911,6.711,79.0,3.45,0.0,0.1,0.1836
14-05,13:40,1067.3,860.178,234.23103,18.03,11.326,6.626,58.0,4.45,0.0,0.0,0.1803
14-05,13:50,634.098,350.074,237.60942,17.78,11.464,7.074,60.0,7.95,0.0,0.0,0.1811
14-05,14:00,1050.18,873.699,240.73666,16.48,10.658,6.558,45.0,8.95,0.0,0.0,0.181
14-05,14:10,923.005,876.282,243.64182,15.63,11.034,7.934,26.0,4.95,0.0,0.1,0.1832
14-05,14:20,862.856,864.02,246.35139,15.56,10.973,7.873,18.0,4.7,0.0,0.0,0.1841
14-05,14:30,847.325,871.626,248.88914,16.94,11.195,7.295,24.0,5.45,0.0,0.0,0.1872
14-05,14:40,763.159,554.292,251.2762,16.55,11.02,7.22,44.0,5.95,0.0,0.0,0.1728
14-05,14:50,443.6,294.029,253.53123,15.21,10.348,6.848,40.0,6.7,0.0,0.0,0.2253
14-05,15:00,758.816,834.472,255.67065,16.37,10.81,6.83,27.0,7.45,0.0,0.0,0.1945
14-05,15:10,718.265,838.12,257.70893,16.78,10.749,6.369,20.0,6.95,0.0,0.0,0.1974
14-05,15:20,694.555,810.861,259.65879,16.74,10.63,6.23,26.0,3.45,0.0,0.0,0.1998
14-05,15:30,690.533,818.362,261.53145,17.33,10.969,6.469,29.0,5.45,0.0,0.0,0.2023
14-05,15:40,640.832,789.449,263.33685,16.91,10.843,6.453,25.0,4.7,0.0,0.0,0.2054
14-05,15:50,621.477,729.077,265.0838,16.18,10.501,6.401,38.0,4.2,0.0,0.0,0.2094
14-05,16:00,222.268,13.4867,266.78016,15.64,10.062,5.962,49.0,4.45,0.0,0.0,0.1717
14-05,16:10,413.29,422.794,268.43297,15.58,10.133,6.133,53.0,3.45,0.0,0.0,0.2078
14-05,16:20,159.792,1.85459,270.04855,15.08,10.042,6.342,85.0,1.95,0.0,0.0,0.1821
14-05,16:30,185.505,26.5676,271.63265,15.3,9.893,5.793,94.0,4.45,0.0,0.0,0.2155
14-05,16:40,230.738,26.81,273.19047,15.54,10.036,5.936,86.0,3.45,0.0,0.65,0.1958
14-05,16:50,324.182,290.999,274.72682,15.79,10.242,6.142,74.0,2.2,0.0,0.0,0.1526
14-05,17:10,407.473,589.13,277.75235,16.0,10.182,5.882,85.0,3.2,0.0,0.0,0.2252
14-05,17:20,110.51,1.6914,279.24945,15.4,10.003,5.923,90.0,2.45,0.0,0.0,0.179
14-05,17:30,104.919,0.182987,280.74098,15.02,9.881,6.001,94.0,2.7,0.0,0.0,0.1807
14-05,17:40,137.256,1.60237,282.23033,15.23,9.933,5.933,86.0,2.45,0.0,0.0,0.1904
14-05,17:50,94.2444,0.133531,283.72074,15.25,9.977,6.077,84.0,2.95,0.0,0.0,0.1836
14-05,18:00,52.017,-0.276952,285.21532,14.87,9.847,6.147,90.0,1.95,0.0,0.0,0.183
14-05,18:10,33.0923,-0.178041,286.71706,14.81,9.767,6.067,95.0,2.7,0.0,0.0,0.1948
14-05,18:20,15.062,-0.237388,288.22888,14.56,9.673,5.973,58.0,2.45,0.0,0.0,0.1768
14-05,18:30,16.4914,0.0,289.75359,14.48,9.758,6.178,59.0,2.95,0.0,0.0,0.1942
14-05,18:40,10.3135,-0.474776,291.29399,13.94,9.693,6.493,26.0,3.45,0.0,0.6,0.1662
14-05,18:50,7.86577,-0.207714,292.85279,13.66,9.563,6.473,0.0,4.2,0.0,0.8,0.1624
14-05,19:00,5.0017,-0.21266,294.43268,13.21,9.371,6.471,0.0,3.45,0.0,0.0,0.0
15-05,04:50,2.32457,0.093967,64.83736,8.45,6.86,5.56,0.0,1.45,0.0,0.0,0.0
15-05,05:00,9.50139,4.01089,66.42343,8.69,6.982,5.582,0.0,1.2,0.0,0.0,0.3024
15-05,05:10,15.5688,78.823,67.98723,9.05,7.045,5.445,12.0,0.0,0.0,0.0,0.4312
15-05,05:20,13.7757,0.356084,69.53144,9.14,7.079,5.299,19.0,0.95,0.0,0.0,0.2041
15-05,05:30,27.2999,-0.019783,71.05875,9.05,6.897,5.097,67.0,0.7,0.0,0.0,0.192
15-05,05:40,42.7955,0.187933,72.57191,9.15,6.881,4.901,77.0,1.2,0.0,0.0,0.2003
15-05,05:50,91.1212,45.6084,74.07371,9.24,6.961,5.061,91.0,0.95,0.0,0.0,0.2385
15-05,06:00,196.29,323.973,75.56702,9.77,7.208,5.108,74.0,0.0,0.0,0.0,0.2541
15-05,06:10,111.591,5.01487,77.05478,9.82,7.142,4.942,77.0,0.0,0.0,0.0,0.1992
15-05,06:20,115.446,2.51731,78.54003,10.04,7.369,5.089,78.0,0.0,0.0,0.0,0.1948
15-05,06:30,121.55,1.00395,80.02595,9.97,7.256,5.056,96.0,0.0,0.0,0.0,0.1905
15-05,06:40,109.696,0.529183,81.51585,10.06,7.476,5.286,96.0,0.95,0.0,0.0,0.1891
15-05,06:50,134.206,0.163206,83.01321,10.54,7.729,5.529,96.0,1.2,0.0,0.0,0.1926
15-05,07:00,155.524,-0.237388,84.52176,10.62,7.77,5.39,97.0,0.0,0.0,0.0,0.1927
15-05,07:10,178.053,0.356084,86.04543,10.55,7.78,5.48,96.0,1.2,0.0,0.0,0.1914
15-05,07:20,203.372,1.12265,87.58849,10.83,8.03,5.73,97.0,0.0,0.0,0.0,0.1931
15-05,07:30,210.53,1.22652,89.15554,10.93,8.113,5.913,97.0,2.2,0.0,0.0,0.2013
15-05,07:40,395.267,14.545,90.75159,11.49,8.495,6.115,98.0,0.0,0.0,0.0,0.1978
15-05,07:50,362.162,16.0486,92.38213,11.83,8.845,6.545,98.0,2.7,0.0,0.0,0.1894
15-05,08:00,337.787,6.59744,94.05322,11.3,8.481,6.281,88.0,0.95,0.0,0.0,0.1891
15-05,08:10,369.953,13.0711,95.77158,12.01,8.868,6.468,83.0,1.95,0.0,0.0,0.1932
15-05,08:20,529.464,104.07,97.5447,12.54,9.061,6.361,95.0,1.45,0.0,0.0,0.2082
15-05,08:30,293.053,13.6696,99.38097,12.96,9.111,6.111,96.0,1.45,0.0,0.0,0.1902
15-05,08:40,261.076,2.96737,101.28983,12.39,8.984,6.384,99.0,2.2,0.0,0.0,0.1885
15-05,08:50,189.169,1.5183,103.28198,12.52,8.898,6.198,99.0,1.7,0.0,0.0,0.186
15-05,09:00,174.179,0.272008,105.3695,12.39,8.719,5.919,88.0,0.7,0.0,0.0,0.1789
15-05,09:10,263.684,1.66172,107.56616,13.12,9.019,5.919,80.0,1.95,0.0,0.0,0.1761
15-05,09:20,265.436,0.880317,109.88762,12.93,8.958,5.958,74.0,3.2,0.0,0.0,0.1875
15-05,09:30,443.12,2.6904,112.35169,13.47,9.203,6.003,88.0,3.7,0.0,0.0,0.1845
15-05,09:40,346.547,1.68149,114.97864,13.33,8.946,5.466,98.0,0.45,0.0,0.0,0.1888
15-05,09:50,259.456,2.17112,117.79136,13.84,9.408,6.008,99.0,3.2,0.0,0.0,0.1866
15-05,10:00,200.886,2.14145,120.81559,13.99,9.449,5.959,97.0,2.7,0.0,0.0,0.1911
15-05,10:10,363.258,1.71118,124.07985,13.79,9.404,6.024,100.0,3.7,0.0,0.0,0.1925
15-05,10:20,301.276,2.02275,127.61514,13.79,9.388,5.988,98.0,2.7,0.0,0.0,0.186
15-05,10:30,370.382,3.1108,131.45416,14.3,9.6,6.01,99.0,0.0,0.0,0.0,0.1927
15-05,10:40,693.212,156.094,135.62972,14.99,9.86,5.96,96.0,1.7,0.0,0.0,0.1778
15-05,10:50,349.632,3.89715,140.17214,15.5,10.156,6.256,94.0,1.95,0.0,0.0,0.192
15-05,11:00,454.131,6.15729,145.10521,14.78,9.575,5.675,96.0,1.2,0.0,0.0,0.1773
15-05,11:10,327.54,4.42632,150.44074,15.64,10.057,5.857,98.0,0.0,0.0,0.0,0.183
15-05,11:20,225.374,0.351136,156.17183,14.88,9.799,5.919,98.0,1.7,0.0,0.0,0.1769
15-05,11:30,478.931,60.4053,162.2662,14.68,9.598,5.698,96.0,0.7,0.0,1.0,0.1769
15-05,11:40,561.004,102.651,168.6614,15.42,10.162,6.262,92.0,2.7,0.0,0.0,0.1861
15-05,11:50,434.224,8.93181,175.26465,16.88,10.913,6.713,93.0,3.7,0.0,0.0,0.189
15-05,12:00,320.627,3.52619,181.95917,15.74,10.159,5.969,92.0,1.45,0.0,0.0,0.1802
15-05,12:10,224.142,0.934717,188.61684,15.6,10.203,6.203,97.0,0.45,0.0,0.0,0.1728
15-05,12:20,165.894,-0.247281,195.11418,15.44,10.006,5.906,98.0,1.2,0.0,0.3,0.1776
15-05,12:30,128.806,-2.12661,201.34696,15.07,10.22,6.72,97.0,1.7,0.0,1.0,0.1904
15-05,12:40,126.324,-4.08507,207.23939,14.29,10.64,8.14,97.0,1.2,0.0,1.0,0.1909
15-05,12:50,134.577,-2.30961,212.74667,13.93,10.543,8.173,95.0,1.2,0.0,1.0,0.1824
15-05,13:00,423.058,12.0475,217.85178,13.99,11.053,9.153,94.0,0.7,0.0,1.0,0.1672
15-05,13:10,292.798,2.01781,222.55939,14.56,10.653,7.953,91.0,0.95,0.0,1.0,0.1676
15-05,13:20,110.616,-0.613254,226.8889,14.34,10.657,8.077,95.0,1.45,0.254,1.0,0.1767
15-05,13:30,185.87,-1.21662,230.86842,14.08,11.11,9.11,98.0,0.95,0.254,1.0,0.1724
15-05,13:40,113.781,-1.97824,234.53009,14.1,10.878,8.778,98.0,2.7,0.254,1.0,0.1797
15-05,13:50,234.895,-0.420374,237.90689,14.04,11.16,9.26,98.0,0.0,0.254,1.0,0.1676
15-05,14:00,311.306,3.89219,241.03071,14.48,11.079,8.879,90.0,2.45,0.508,1.0,0.1657
15-05,14:10,355.45,2.76954,243.93117,15.23,10.752,7.652,97.0,1.7,0.508,1.0,0.1692
15-05,14:20,834.181,400.638,246.63523,15.48,11.171,8.271,97.0,1.7,0.508,1.0,0.1748
15-05,14:30,612.187,289.582,249.16699,16.87,12.273,9.373,83.0,1.7,0.508,1.0,0.1819
15-05,14:40,709.192,435.99,251.5478,17.21,12.272,9.172,80.0,1.45,0.508,1.0,0.1872
15-05,14:50,788.249,587.854,253.79651,17.34,11.359,7.259,85.0,1.95,0.508,1.0,0.1738
15-05,15:00,344.179,107.741,255.92966,17.08,11.226,7.126,88.0,0.0,0.508,1.0,0.1835
15-05,15:10,462.072,187.643,257.9618,17.48,11.444,7.254,95.0,2.2,0.508,0.0,0.1887
15-05,15:20,167.486,2.76461,259.90571,17.79,11.202,6.502,95.0,0.0,0.508,0.0,0.1704
15-05,15:30,115.911,0.351141,261.77265,17.13,11.2,7.02,99.0,0.0,0.508,0.0,0.3431
15-05,15:40,79.6841,-0.598422,263.57257,16.88,11.25,7.45,99.0,1.45,0.508,1.0,0.1497
15-05,15:50,321.067,4.28289,265.31431,17.31,11.14,6.76,98.0,1.45,0.508,1.0,0.1784
15-05,16:00,609.253,569.919,267.00571,17.23,12.189,8.989,71.0,1.95,0.762,1.0,0.1867
15-05,16:10,445.72,458.127,268.65381,17.62,11.609,7.509,38.0,2.7,0.762,1.0,0.2003
15-05,16:20,496.607,663.029,270.26494,18.2,11.741,7.341,37.0,3.2,0.762,1.0,0.2073
15-05,16:30,462.382,658.082,271.84482,17.63,12.288,8.818,34.0,5.7,0.762,1.0,0.2073
15-05,16:40,220.581,129.931,273.39866,16.88,12.127,9.037,50.0,5.2,0.762,0.0,0.1554
15-05,16:50,454.389,641.509,274.93124,16.22,11.496,8.306,62.0,5.45,0.762,0.0,0.2129
15-05,17:10,124.856,3.77846,277.94983,15.37,11.057,8.157,92.0,6.2,0.762,0.0,0.1703
15-05,17:20,40.7596,-0.217608,279.44373,14.95,10.885,8.185,50.0,5.45,0.762,0.0,0.107
15-05,17:30,42.9275,-0.197825,280.93222,14.46,10.508,7.808,75.0,4.95,0.762,0.0,0.1409
15-05,17:40,38.5379,-0.158261,282.41867,13.93,10.401,7.901,92.0,4.45,0.762,0.0,0.1566
15-05,17:50,19.7226,-0.128587,283.90632,13.7,10.001,7.301,97.0,4.95,0.762,0.0,0.1369
15-05,18:00,2.3982,-0.123641,285.39825,13.45,10.149,7.849,84.0,3.95,0.762,0.0,0.0467
15-05,18:10,2.62282,-0.633041,286.89744,12.89,10.619,9.049,75.0,3.45,0.762,1.0,0.0
15-05,18:20,11.028,-0.583585,288.40678,11.57,10.18,9.19,96.0,2.7,0.762,1.0,0.1487
15-05,18:30,4.71766,-0.074184,289.9291,11.28,10.285,9.685,91.0,3.45,0.762,1.0,0.3383
15-05,18:40,2.30231,-0.242335,291.46713,10.77,9.959,9.459,86.0,2.7,1.016,1.0,0.4299
15-05,18:50,-0.186563,-0.014837,293.02361,10.74,10.119,9.719,0.0,1.7,2.286,1.0,0.0
15-05,19:00,-0.060244,-0.58853,294.60119,10.53,9.927,9.527,0.0,4.45,6.858,1.0,0.0
16-05,04:50,3.75048,0.113748,64.66492,10.15,8.242,6.842,0.0,1.45,0.0,0.0,0.0
16-05,05:00,9.62198,36.563,66.24883,10.32,8.125,6.425,0.0,1.95,0.0,0.0,0.3698
16-05,05:10,31.2028,111.991,67.81047,10.08,8.069,6.569,42.0,1.7,0.0,0.45,0.3131
16-05,05:20,26.6494,0.924819,69.35247,10.03,8.216,6.816,59.0,1.95,0.0,0.0,0.2249
16-05,05:30,34.9389,0.796239,70.87753,10.19,8.294,6.894,78.0,2.2,0.0,0.0,0.2127
16-05,05:40,44.6834,0.68249,72.38837,10.29,8.54,7.16,90.0,0.95,0.0,0.85,0.1918
16-05,05:50,50.7321,1.07813,73.88777,10.34,8.652,7.352,91.0,0.0,0.0,1.0,0.1755
16-05,06:00,73.2011,0.316517,75.37857,10.39,8.761,7.561,94.0,0.0,0.0,0.55,0.1722
16-05,06:10,60.1097,0.69733,76.8637,10.39,8.802,7.702,94.0,1.2,0.0,1.0,0.1725
16-05,06:20,49.6768,0.395648,78.3462,10.45,9.022,8.022,92.0,0.0,0.0,1.0,0.1649
16-05,06:30,57.1431,-0.074184,79.8292,10.45,9.58,8.98,96.0,1.7,0.0,1.0,0.1655
16-05,06:40,62.9981,-0.806131,81.31602,10.15,8.866,7.866,96.0,1.7,0.254,1.0,0.1661
16-05,06:50,65.8079,-0.217605,82.81013,9.98,9.019,8.319,95.0,2.45,0.254,1.0,0.1725
16-05,07:00,107.983,0.148366,84.31522,10.0,9.233,8.633,80.0,1.2,0.508,1.0,0.162
16-05,07:10,171.23,1.23639,85.83523,10.21,8.89,7.89,88.0,1.2,0.508,1.0,0.1655
16-05,07:20,140.148,1.25123,87.37439,10.53,8.359,6.659,96.0,1.95,0.508,1.0,0.1685
16-05,07:30,178.799,1.44906,88.93731,10.83,8.56,6.86,94.0,1.45,0.508,1.0,0.1653
16-05,07:40,174.732,2.64094,90.52896,11.52,9.186,7.486,81.0,0.95,0.508,1.0,0.1604
16-05,07:50,230.164,17.27,92.15484,11.55,8.797,6.697,48.0,0.95,0.508,1.0,0.1704
16-05,08:00,348.97,189.94,93.82099,12.05,9.424,7.524,45.0,1.7,0.508,1.0,0.1912
16-05,08:10,361.814,161.978,95.53413,12.13,9.693,7.993,50.0,1.95,0.508,1.0,0.1608
16-05,08:20,577.103,685.57,97.30173,12.26,9.499,7.499,45.0,3.45,0.508,0.0,0.2268
16-05,08:30,885.577,779.485,99.13219,12.8,10.057,8.087,73.0,2.95,0.508,0.0,0.1736
16-05,08:40,656.764,687.616,101.03497,12.79,8.265,4.485,39.0,2.7,0.508,0.0,0.1738
16-05,08:50,575.279,473.177,103.02076,13.83,10.258,7.758,55.0,2.95,0.508,0.0,0.1553
16-05,09:00,667.484,577.961,105.10172,13.2,9.384,6.484,42.0,1.95,0.508,0.0,0.147
16-05,09:10,871.543,915.088,107.29165,14.62,9.737,6.137,36.0,1.95,0.508,0.0,0.1695
16-05,09:20,850.396,924.501,109.60632,14.49,9.029,4.629,26.0,2.45,0.508,0.0,0.1648
16-05,09:30,854.788,934.675,112.06367,14.55,9.177,4.877,18.0,1.95,0.508,0.0,0.1615
16-05,09:40,879.196,941.594,114.68415,14.23,9.093,5.093,17.0,2.45,0.508,0.0,0.1595
16-05,09:50,881.885,948.874,117.49095,14.8,9.345,5.045,19.0,1.7,0.508,0.0,0.1574
16-05,10:00,906.792,965.081,120.51016,14.68,8.782,3.882,10.0,2.7,0.508,0.0,0.1541
16-05,10:10,924.583,973.898,123.77081,15.23,9.276,4.576,5.0,2.95,0.508,0.0,0.1535
16-05,10:20,939.193,972.37,127.30458,15.3,9.393,4.693,5.0,1.45,0.508,0.0,0.1523
16-05,10:30,947.268,967.063,131.14501,15.15,9.194,4.494,6.0,3.45,0.508,0.0,0.1507
16-05,10:40,969.858,979.084,135.32602,15.69,9.108,3.808,4.0,5.7,0.508,0.0,0.1511
16-05,10:50,983.121,983.068,139.87917,16.37,9.64,4.34,4.0,4.2,0.508,0.0,0.1533
16-05,11:00,996.804,987.912,144.82966,16.59,9.653,4.063,7.0,3.7,0.508,0.0,0.1519
16-05,11:10,1009.2,985.059,150.19064,15.94,9.311,3.911,10.0,2.95,0.508,0.0,0.1517
16-05,11:20,1031.61,975.201,155.95623,16.94,9.631,3.731,15.0,4.7,0.508,0.0,0.1517
16-05,11:30,1017.86,954.513,162.09443,17.61,10.102,4.202,14.0,4.2,0.508,0.0,0.1562
16-05,11:40,1038.57,980.563,168.54198,16.91,9.346,3.146,18.0,4.2,0.508,0.0,0.1498
16-05,11:50,1022.62,980.482,175.20397,17.5,9.737,3.437,14.0,5.45,0.508,0.0,0.1506
16-05,12:00,1020.05,976.405,181.96031,16.99,9.013,2.213,14.0,1.7,0.508,0.0,0.1496
16-05,12:10,1022.98,870.599,188.67897,18.19,10.227,4.027,34.0,2.2,0.508,0.0,0.1632
16-05,12:20,982.272,865.076,195.23276,18.39,9.767,2.567,24.0,3.95,0.508,0.0,0.1377
16-05,12:30,1074.38,973.087,201.51465,19.13,10.076,2.676,21.0,5.2,0.508,0.0,0.1539
16-05,12:40,1146.4,927.435,207.44734,18.37,9.834,2.754,33.0,4.45,0.508,0.0,0.1531
16-05,12:50,946.358,835.808,212.98572,18.28,9.568,2.168,14.0,4.45,0.508,0.0,0.1513
16-05,13:00,1051.58,890.412,218.11344,18.88,9.945,2.645,21.0,1.7,0.508,0.0,0.1572
16-05,13:10,430.026,119.262,222.83629,18.13,9.3,1.8,67.0,3.45,0.508,0.0,0.1312
16-05,13:20,1008.55,939.461,227.17505,18.41,10.007,3.207,21.0,2.7,0.508,0.0,0.1625
16-05,13:30,984.762,964.201,231.15912,18.98,10.239,3.159,21.0,4.7,0.508,0.0,0.1569
16-05,13:40,935.598,959.414,234.8218,19.37,10.04,2.26,12.0,3.7,0.508,0.0,0.1593
16-05,13:50,948.215,955.543,238.19704,19.29,9.995,2.295,21.0,3.95,0.508,0.0,0.1602
16-05,14:00,910.947,942.551,241.31746,19.15,10.578,3.978,18.0,2.45,0.508,0.0,0.1625
16-05,14:10,265.712,85.331,244.21329,18.99,10.004,2.604,29.0,1.95,0.508,0.0,0.1089
16-05,14:20,672.477,457.841,246.91192,18.47,9.547,1.947,39.0,1.7,0.508,0.0,0.1496
16-05,14:30,795.1,756.213,249.43776,19.12,9.792,1.892,31.0,2.2,0.508,0.0,0.1754
16-05,14:40,850.641,902.411,251.81243,19.26,9.867,2.067,40.0,1.95,0.508,0.0,0.1707
16-05,14:50,808.099,686.438,254.05493,19.24,10.211,2.911,66.0,3.95,0.508,0.0,0.1822
16-05,15:00,216.313,0.272008,256.18191,18.07,9.693,2.793,73.0,3.7,0.508,0.0,0.1396
16-05,15:10,160.885,-0.395647,258.20802,17.53,9.261,2.171,68.0,3.7,0.508,0.0,0.1529
16-05,15:20,167.89,0.395647,260.14609,17.02,8.994,2.194,59.0,5.95,0.508,0.0,0.1601
16-05,15:30,751.941,869.579,262.0074,18.25,9.647,2.447,54.0,2.95,0.508,0.0,0.1955
16-05,15:40,773.222,783.812,263.80195,18.86,9.735,2.135,78.0,5.95,0.508,0.0,0.1957
16-05,15:50,152.485,0.563796,265.53855,17.5,9.06,1.67,60.0,5.2,0.508,0.0,0.1485
16-05,16:00,351.46,299.058,267.22508,17.32,9.069,1.899,48.0,4.95,0.508,0.0,0.196
16-05,16:39,179.881,38.5407,273.447,17.48,8.818,1.118,71.0,4.45,0.508,0.0,0.1612
16-05,16:40,188.049,60.3605,273.60097,17.32,8.827,1.247,61.0,3.95,0.508,0.0,0.1646
16-05,16:50,187.345,112.769,275.12984,17.21,8.706,1.106,56.0,2.7,0.508,0.0,0.1877
17-05,17:10,357.05,686.921,278.32756,21.69,12.829,6.929,50.0,1.45,0.0,0.0,0.2009
17-05,17:20,256.739,493.248,279.81518,21.87,12.985,7.085,31.0,1.95,0.0,0.0,0.1878
17-05,17:30,180.036,304.907,281.2977,21.43,12.969,7.379,26.0,1.7,0.0,0.0,0.1698
17-05,17:40,122.28,137.74,282.77846,20.84,12.937,7.837,46.0,1.45,0.0,0.0,0.1497
17-05,17:50,118.484,105.4,284.26066,20.56,12.979,8.079,63.0,1.7,0.0,0.0,0.1518
17-05,18:00,74.0846,-0.38081,285.74736,20.42,12.817,7.817,89.0,0.95,0.0,0.0,0.1178
17-05,18:10,64.6799,-0.924828,287.2415,19.85,12.697,7.997,92.0,0.7,0.0,0.0,0.1341
17-05,18:20,56.3531,-0.158259,288.74595,19.42,12.677,8.287,94.0,1.45,0.0,0.0,0.1359
17-05,18:30,40.8503,-0.217606,290.2635,19.11,12.631,8.531,81.0,1.45,0.0,0.0,0.134
17-05,18:40,26.1403,-0.395648,291.79685,18.65,12.478,8.478,41.0,2.7,0.0,0.0,0.1225
17-05,18:50,15.366,9.84668,293.3487,18.41,12.32,8.32,6.0,2.45,0.0,0.0,0.1151
17-05,19:00,7.47055,-0.138477,294.92167,18.07,12.289,8.589,0.0,1.45,0.0,0.0,0.0
18-05,04:50,7.81421,24.0604,64.32753,10.34,9.258,8.558,0.0,1.45,0.0,0.0,0.0
18-05,05:00,25.9634,185.414,65.90729,10.27,9.223,8.523,0.0,0.0,0.0,0.0,0.4757
18-05,05:10,20.8164,12.9476,67.46474,10.43,9.447,8.747,39.0,2.2,0.0,0.0,0.2427
18-05,05:20,30.6451,18.1701,69.00248,10.29,9.406,8.806,72.0,2.2,0.0,0.0,0.2284
